trace,time,uid,subtype,type,amount,ncalls,snapshots
main.main.func1,10202068672,main.Greet,Total Inclusive T [%],time,0.015718974372337963,10,0
main.main.func1,10202068672,main.Greet,Total Exclusive T [ms],time,43.740396,10,0
main.main.func1,10202068672,main.Greet,Total Exclusive T [%],time,0.004287404584919854,10,0
main.main.func1,10202068672,main.Greet,Total Morestack T [ms],time,0.0,10,0
main.main.func1,10202068672,main.Greet,Total Morestack T [%],time,0.0,10,0
main.main.func1,10202068672,main.Greet,I Mean,time,16.036605599999998,10,0
main.main.func1,10202068672,main.Greet,E Mean,time,4.3740396,10,0
main.main.func1,10202068672,main.Greet,I Min,time,3249079.0,10,0
main.main.func1,10202068672,main.Greet,E Min,time,1406379.0,10,0
main.main.func1,10202068672,main.Greet,I Max,time,50391000.0,10,0
main.main.func1,10202068672,main.Greet,E Max,time,8123811.0,10,0
"main.main.func1,main.Greet",10202068672,main.add,Callees [#],time,20.0,10,0
"main.main.func1,main.Greet",10202068672,main.add,Callees Mean [#],time,2.1356931888793173e-07,10,0
"main.main.func1,main.Greet",10202068672,main.add,Total Inclusive T [ms],time,93.64641,10,0
"main.main.func1,main.Greet",10202068672,main.add,Total Inclusive T [%],time,0.009179158954008657,10,0
"main.main.func1,main.Greet",10202068672,main.add,Total Exclusive T [ms],time,43.020711,10,0
"main.main.func1,main.Greet",10202068672,main.add,Total Exclusive T [%],time,0.004216861538883004,10,0
"main.main.func1,main.Greet",10202068672,main.add,Total Morestack T [ms],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.add,Total Morestack T [%],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.add,I Mean,time,9.364641,10,0
"main.main.func1,main.Greet",10202068672,main.add,E Mean,time,4.3020711,10,0
"main.main.func1,main.Greet",10202068672,main.add,I Min,time,1455440.0,10,0
"main.main.func1,main.Greet",10202068672,main.add,E Min,time,891122.0,10,0
"main.main.func1,main.Greet",10202068672,main.add,I Max,time,37089443.0,10,0
"main.main.func1,main.Greet",10202068672,main.add,E Max,time,12710153.0,10,0
main.main,10202068672,main.add,Callees [#],time,2.0,1,0
main.main,10202068672,main.add,Callees Mean [#],time,4.163638573771421e-08,1,0
main.main,10202068672,main.add,Total Inclusive T [ms],time,48.034909,1,0
main.main,10202068672,main.add,Total Inclusive T [%],time,0.004708349898862551,1,0
main.main,10202068672,main.add,Total Exclusive T [ms],time,34.910651,1,0
main.main,10202068672,main.add,Total Exclusive T [%],time,0.0034219188404224065,1,0
main.main,10202068672,main.add,Total Morestack T [ms],time,0.0,1,0
main.main,10202068672,main.add,Total Morestack T [%],time,0.0,1,0
main.main,10202068672,main.add,I Mean,time,48.034909,1,0
main.main,10202068672,main.add,E Mean,time,34.910651,1,0
main.main,10202068672,main.add,I Min,time,48034909.0,1,0
main.main,10202068672,main.add,E Min,time,34910651.0,1,0
main.main,10202068672,main.add,I Max,time,48034909.0,1,0
main.main,10202068672,main.add,E Max,time,34910651.0,1,0
"main.main.func2,main.Greet",10202068672,main.add,Callees [#],time,10.0,5,0
"main.main.func2,main.Greet",10202068672,main.add,Callees Mean [#],time,4.049409764106898e-07,5,0
"main.main.func2,main.Greet",10202068672,main.add,Total Inclusive T [ms],time,24.694957,5,0
"main.main.func2,main.Greet",10202068672,main.add,Total Inclusive T [%],time,0.002420583294815132,5,0
"main.main.func2,main.Greet",10202068672,main.add,Total Exclusive T [ms],time,17.548867,5,0
"main.main.func2,main.Greet",10202068672,main.add,Total Exclusive T [%],time,0.0017201282959566418,5,0
"main.main.func2,main.Greet",10202068672,main.add,Total Morestack T [ms],time,0.0,5,0
"main.main.func2,main.Greet",10202068672,main.add,Total Morestack T [%],time,0.0,5,0
"main.main.func2,main.Greet",10202068672,main.add,I Mean,time,4.938991400000001,5,0
"main.main.func2,main.Greet",10202068672,main.add,E Mean,time,3.5097734,5,0
"main.main.func2,main.Greet",10202068672,main.add,I Min,time,2179188.0,5,0
"main.main.func2,main.Greet",10202068672,main.add,E Min,time,1121818.0,5,0
"main.main.func2,main.Greet",10202068672,main.add,I Max,time,8312416.0,5,0
"main.main.func2,main.Greet",10202068672,main.add,E Max,time,7405767.0,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,Callees [#],time,0.0,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,Callees Mean [#],time,0.0,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,Total Inclusive T [ms],time,17.367434,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,Total Inclusive T [%],time,0.001702344353715795,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,Total Exclusive T [ms],time,17.367434,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,Total Exclusive T [%],time,0.001702344353715795,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,Total Morestack T [ms],time,2.287423,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,Total Morestack T [%],time,0.00022421168427124268,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,I Mean,time,3.4734868,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,E Mean,time,3.4734868,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,I Min,time,535009.0,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,E Min,time,535009.0,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,I Max,time,10711471.0,5,0
"main.main.func2,main.Greet",10202068672,main.getGoroutineID,E Max,time,10711471.0,5,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,Callees [#],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,Callees Mean [#],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,Total Inclusive T [ms],time,14.078389,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,Total Inclusive T [%],time,0.001379954345792508,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,Total Exclusive T [ms],time,14.078389,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,Total Exclusive T [%],time,0.001379954345792508,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,Total Morestack T [ms],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,Total Morestack T [%],time,0.0,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,I Mean,time,1.4078389,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,E Mean,time,1.4078389,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,I Min,time,257960.0,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,E Min,time,257960.0,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,I Max,time,3531068.0,10,0
"main.main.func1,main.Greet",10202068672,main.getGoroutineID,E Max,time,3531068.0,10,0
"main.main,main.add",10202068672,main.getGoroutineID,Callees [#],time,0.0,1,0
"main.main,main.add",10202068672,main.getGoroutineID,Callees Mean [#],time,0.0,1,0
"main.main,main.add",10202068672,main.getGoroutineID,Total Inclusive T [ms],time,9.697744,1,0
"main.main,main.add",10202068672,main.getGoroutineID,Total Inclusive T [%],time,0.000950566430376602,1,0
"main.main,main.add",10202068672,main.getGoroutineID,Total Exclusive T [ms],time,9.697744,1,0
"main.main,main.add",10202068672,main.getGoroutineID,Total Exclusive T [%],time,0.000950566430376602,1,0
